Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-August-2022,109.20,112.90,108.70,112.65,111.817520957693737840,9455716,46830,1057314722.00,4754624,50.28,4.20,3.45
11-August-2022,110.10,110.65,108.60,109.10,109.567127558325121891,5233551,34707,573425150.00,2047439,39.12,2.05,-1.00
10-August-2022,107.90,109.90,106.45,109.25,108.173631119059747089,4002923,20346,433010716.00,1277009,31.90,3.45,1.35
8-August-2022,107.50,108.20,106.70,107.20,107.335107009458192907,3616970,26937,388227862.00,1521691,42.07,1.50,-0.30
5-August-2022,107.85,109.25,107.05,107.35,108.076915956740398093,5034443,31846,544107073.00,1896258,37.67,2.20,-0.50
4-August-2022,108.15,109.50,106.05,107.70,107.792216369734534973,4298457,23305,463340207.00,873359,20.32,3.45,-0.45
3-August-2022,106.85,108.50,106.00,107.00,106.945163511512879654,3280717,19809,350856816.00,894200,27.26,2.50,0.15
2-August-2022,108.20,108.20,105.30,106.95,106.826811953644743227,3719535,24749,397346066.00,1398316,37.59,2.90,-1.25
1-August-2022,110.10,111.45,106.10,108.25,108.435561079871035795,12783082,91674,1386140669.00,6496026,50.82,5.35,-1.85
29-July-2022,103.00,109.30,102.10,107.65,106.653071048797945927,11659958,95935,1243570329.00,4569905,39.19,7.20,4.65
28-July-2022,98.00,102.05,97.40,100.35,99.555422667715310947,8730002,84992,869119039.00,4685332,53.67,4.65,2.35
27-July-2022,949.05,961.55,943.60,959.45,953.113582473366062184,269487,8761,256851720.00,62133,23.06,17.95,10.40
26-July-2022,969.00,974.00,945.90,949.45,959.790287679344488424,727859,27826,698591999.00,187573,25.77,28.10,-19.55
25-July-2022,936.00,966.15,933.55,960.90,954.909056537309927787,425825,14044,406624149.00,90277,21.20,32.60,24.90
22-July-2022,940.00,944.00,932.05,936.00,938.119199627899260242,337543,15045,316655569.00,98990,29.33,11.95,-4.00
21-July-2022,930.00,939.00,924.65,934.50,933.675579208147910262,217970,8424,203513266.00,43826,20.11,14.35,4.50
20-July-2022,934.25,937.75,925.00,928.20,931.521881087905270833,275649,10309,256773075.00,64199,23.29,12.75,-6.05
19-July-2022,904.10,922.00,901.00,919.25,916.824433088080062950,573149,19057,525477007.00,157028,27.40,21.00,15.15
18-July-2022,894.95,907.85,892.25,904.30,887.314379270845676817,1265850,8938,1123206907.00,1051119,83.04,15.60,9.35
15-July-2022,902.50,910.20,877.50,883.60,890.660811686744495548,580076,25548,516650961.00,178114,30.71,32.70,-18.90
